label,Z_true,A_true,sign,R_true,beta_true,R_tracker,Z_trk,tracker_pitch_deg,tracker_sigma_R,tracker_n_hits,tracker_mode,beta_tof,Z_tof,beta_rich,Z_rich,TRD_e_like,E_ecal,E_over_p,shower_shape
C,6.0,12.0,1.0,1.987424823919468,0.7270986473201942,1.7638187812520107,6.135337089021017,67.04024194805618,0.43185807225981027,7.0,week1_fullsim,0.748406174554523,6.2114056229955,0.7268266542018149,5.988216070852632,0.07231544599446756,5.010457758257994,0.4759071663340871,0.12335235883632645
e-,1.0,0.0,-1.0,86.86335387157312,0.9999999999826964,25.073688451988307,1.0931901595449165,61.16532788402183,26.059006161471938,7.0,week1_fullsim,0.9746752040854886,1.045181425669053,0.9974135731792895,0.9459088372764338,0.885521009022362,87.47446538224112,0.9980657623287129,0.6933591002404508
e-,1.0,0.0,-1.0,3.296445668437641,0.9999999879851551,12.117584690303309,1.089775808961434,41.830568022340756,0.9889337005312923,7.0,week1_fullsim,0.999999,1.3012382322362581,0.999999,1.1138628140448619,0.6745966026508576,3.4010895793859963,1.0,0.9365400146650942
e+,1.0,0.0,1.0,2.5610632301783207,0.9999999800946691,34.964635974675716,1.1202571064183386,48.09311584464817,0.7022886450472698,7.0,week1_fullsim,0.999999,0.1447453518571309,0.999999,1.427224334479166,0.905696528917885,2.4087509774104965,1.0,0.9478748147817018
O,8.0,16.0,1.0,126.78805952310158,0.999890488550225,30.675436149667625,8.064279741373229,74.5777231928984,38.03641785693047,7.0,week1_fullsim,0.9722657361505747,8.109269929057746,0.999217110044901,7.975745523541623,0.1482358842250863,395.1901232662209,0.39605705334244534,0.2746248216231706
p,1.0,1.0,1.0,54.86005185702925,0.9998537755825843,94.1759728760932,1.1470611140008824,67.88466516656774,16.458015557108773,7.0,week1_fullsim,0.9845920044220295,1.0123469150809652,0.999999,0.7835562837412627,0.08703637573758403,46.932798995848884,0.7420742863773268,0.15052540273043089
e+,1.0,0.0,1.0,79.043052616797,0.999999999979103,74.59434117798116,1.264744227778527,54.94366089696941,23.712915785039097,7.0,week1_fullsim,0.999999,1.5486912902973118,0.9989707882808804,1.052440856384388,0.9281107146829534,81.58609808681663,1.0,0.89966026341905
O,8.0,16.0,1.0,7.377098047312248,0.969136813833883,8.560326416484182,8.092434872240029,30.138762109712616,2.2131294141936744,7.0,week1_fullsim,0.9739058255545909,7.96148560661827,0.9695423697166459,8.080997806096212,0.1438278370656903,15.347204288862931,0.35149925257438824,0.14822420120719249
Si,14.0,28.0,1.0,33.84264930483413,0.9984662350008562,29.830010127796143,13.89179684324272,71.83331047098902,10.152794791450239,7.0,week1_fullsim,0.999999,14.02753821371031,0.9977434231422707,14.031416069145173,0.1747361454871598,211.86973967105553,0.3723151232670009,0.15296839701930043
He,2.0,4.0,1.0,203.77842006459906,0.9999576021746462,1.8476064544312476,1.979413401296901,48.44056454100797,61.133526019379715,7.0,week1_fullsim,0.98130462580211,2.0100733967866424,0.9989768765341072,2.1340780644324697,0.11441276193125896,221.548701910453,0.5696355910422449,0.020774779831650603
Fe,26.0,56.0,1.0,5.015051503056383,0.927525125945049,9.238054278447791,25.90478566401437,40.2160184153952,1.5045154509169147,7.0,week1_fullsim,0.9250578414487813,26.052247840332377,0.9275936816347143,26.014218517740552,0.2592734263545663,76.7863689137183,0.7349302308775868,0.0
O,8.0,16.0,1.0,1.4819292590011486,0.6197594513979241,1.4215314215075832,7.910829731823891,74.21435237802731,0.21793030531469632,7.0,week1_fullsim,0.6414057976053328,7.646733620708105,0.6205964674355641,7.988127829792343,0.19814875772619575,5.656128903363867,0.46494463006512465,0.3596827010293674
O,8.0,16.0,1.0,2.650242853832687,0.8161277688313489,9.963753373927766,7.935630630940869,30.148688580798684,0.7501961186662721,7.0,week1_fullsim,0.8019735884388026,8.098134471708237,0.81583332354376,8.103821553595258,0.1227607633011007,10.938514818483261,0.5156722756446601,0.19518505525257007
Si,14.0,28.0,1.0,167.16016970913773,0.9999369941419345,18.552155266763766,13.996707263211809,60.16567178436193,50.14805091274132,7.0,week1_fullsim,0.999999,13.97974035645203,0.9993851457840892,14.069326671624786,0.1804853739260489,1327.3027359680175,0.6066027263954158,0.27925910725040537
e+,1.0,0.0,1.0,4.981803891646319,0.9999999947393821,4.090851033151726,0.9795200247362179,79.32327038565694,1.4945411674938955,7.0,week1_fullsim,0.9973129584858936,1.219329451850752,0.999999,0.971225676191623,0.7762001157408891,5.432352108904565,0.9978888843638454,0.825363428442409
Si,14.0,28.0,1.0,16.477564367462328,0.9935775321428734,30.186950796630764,14.036208364681256,63.16384598270098,4.943269310238699,7.0,week1_fullsim,0.9916032109750321,13.962166142994844,0.9938604170453508,13.959964946502136,0.18084674486087696,157.18414395794264,0.7023327585173189,0.05366238618296862
Fe,26.0,56.0,1.0,21.095609064645053,0.9954428202589202,39.84536173005095,26.052017982496857,60.685425160051004,6.328682719393516,7.0,week1_fullsim,0.9625334100547095,25.97413622166221,0.9950896124505537,25.974350320550112,0.220256407053823,141.0028934954553,0.2339498116609113,0.4771317904284365
Fe,26.0,56.0,1.0,238.8197037921536,0.9999641991517431,26.67735771684774,26.06377489163967,47.23503894662762,71.64591113764608,7.0,week1_fullsim,0.999999,25.97163993577351,0.9999068102434463,25.965175096860932,0.2772595817285102,2741.5890053029175,0.5051655052669441,0.03159010595081657
C,6.0,12.0,1.0,5.582131674554144,0.9478736247071827,168.37795203826627,6.007433089356974,62.57305478372695,1.674639502366243,7.0,week1_fullsim,0.9454098641250458,6.102694929823237,0.9472786450490027,5.926506984796941,0.1520800715092917,18.33761788576659,0.5552574079131357,0.32469331752926556
Si,14.0,28.0,1.0,19.568135587973515,0.9954332653981319,30.69333491775638,14.109112740785257,56.29401099199251,5.870440676392055,7.0,week1_fullsim,0.999999,14.02858372698573,0.995441080415121,14.072645304227779,0.2442314936438737,117.15518934027104,0.41651247455382917,0.30937050717036
Fe,26.0,56.0,1.0,236.2599669870132,0.9999634192301075,12.471461719602495,26.079599053533,58.78088326583247,70.87799009610396,7.0,week1_fullsim,0.9620670611827168,25.95795518752287,0.999999,26.035619580162027,0.11238505802063956,2093.0148021140676,0.3218192390513007,0.18057442229499363
Si,14.0,28.0,1.0,3.153229154096276,0.8593381519753585,37.962992355384735,14.068078829547211,37.15181433022807,0.9459687462288827,7.0,week1_fullsim,0.8157994853041346,13.945574406007937,0.8589469783711818,14.073898452475774,0.2480443140157219,9.152988625913743,0.2549970079306415,0.09793697923557028
Fe,26.0,56.0,1.0,30.271531194298767,0.9977790464634073,43.491319662941414,25.997126393141524,63.94173943657649,9.08145935828963,7.0,week1_fullsim,0.999999,26.120340209519078,0.9974059858874794,25.95957972189581,0.275811583334017,270.40460784347374,0.37454817295966136,0.36401693807352764
Si,14.0,28.0,1.0,1.4373470677068254,0.6080753025837853,1.4081840145495597,14.08218605572637,76.55546343777345,0.19850551383954512,7.0,week1_fullsim,0.6179170135761765,14.070016998247521,0.607712759964012,14.093351804231206,0.24096858395144688,11.30584550184977,0.7519723929082847,0.14147360960609826
He,2.0,4.0,1.0,4.481479400761739,0.9223987517036715,3.5932213219734646,2.023698219546114,32.45792507109749,1.3444438202285216,7.0,week1_fullsim,0.8889781845742015,2.664126600403361,0.9195940843799324,1.9594157025995216,0.20442555910914226,3.4758498283555896,0.353053760895917,0.3195933107985721
O,8.0,16.0,1.0,1.484067990481876,0.6203098784738037,1.283308321444368,8.078933570080133,55.83902366909011,0.2188822331864073,7.0,week1_fullsim,0.6150971180433659,8.101649720219958,0.6202839587881714,7.904711770693091,0.28126782286116025,6.357913575499511,0.5683885053294606,0.5710150348251889
He,2.0,4.0,1.0,6.573980152010499,0.9615909898750874,7.149377169130296,1.940385651654011,44.38511127136877,1.9721940456031497,7.0,week1_fullsim,0.9070065039755922,2.1629166113252993,0.9628270107375865,2.0848702547883438,0.22794255345718828,6.235171335861889,0.5232138704503465,0.17600323022805425
Si,14.0,28.0,1.0,3.2460975956835836,0.8657470817390939,2.691616197801959,13.959558857086359,68.4690929769562,0.9738292787050751,7.0,week1_fullsim,0.8618174163068751,14.037675732983145,0.8657625734214679,14.012212967368395,0.2890998408005681,18.856982774968426,0.4910763305591311,0.32151112355016004
Si,14.0,28.0,1.0,95.01070859716894,0.9998050086126499,8.131558554864855,14.032810597470375,42.25702761135092,28.50321257915068,7.0,week1_fullsim,0.999999,14.046822621029673,0.9993552086395256,14.02494930330181,0.19282181003685733,294.81127481535964,0.3403329268128921,0.14491717294973955
Fe,26.0,56.0,1.0,14.056808111379489,0.9898231298230639,63.858250261062835,25.974389650404916,59.274574530643854,4.217042433413846,7.0,week1_fullsim,0.9564609168537239,25.987822695182413,0.9896584821074683,26.12202551000048,0.15191324556196828,65.06204337783194,0.18248750715280976,0.20494096303498327
